baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
usdc.polygon,usdt.polygon,100000000,0,0.0,0,100000000,100000000,0.0,2025-12-07 02:52:45.023
dcr,usdc.polygon,30000000,0,0.0,0,30000000,30000000,0.0,2025-12-07 02:52:45.023
dcr,polygon,70786002030,0,0.0,0,70786002030,70786002030,0.0,2025-12-07 02:52:45.023
dcr,usdt.polygon,24783530,0,0.0,0,24783530,24783530,0.0,2025-12-07 02:52:45.313
firo,usdt.polygon,3973350,0,0.0,0,3973350,3973350,0.0,2025-12-07 02:52:45.023
dcr,btc,22130,0,0.05380952380952381,40,22130,21000,816.394696114304,2025-12-07 02:52:40.015
btc,usdt.polygon,82956946910,0,0.0,0,82956946910,82956946910,0.0,2025-12-07 02:52:45.020
ltc,usdt.polygon,88146680,0,0.0,0,88146680,88146680,0.0,2025-12-07 02:52:45.023
