side,qty,rate,time
2,280.0,100000,2026-06-02 06:23:43.258
2,40.0,30000,2026-06-05 20:08:25.604
2,400.0,28000,2026-06-02 06:24:39.252
2,40.0,25140,2026-06-06 19:32:03.523
2,40.0,25120,2026-06-06 19:32:02.764
2,40.0,25040,2026-06-05 21:25:58.687
2,40.0,25000,2026-06-05 20:09:11.693
2,40.0,24910,2026-06-05 21:25:58.021
2,40.0,24630,2026-06-05 21:25:57.324
2,40.0,23750,2026-06-05 21:25:56.326
2,40.0,23270,2026-06-05 21:25:55.654
2,40.0,23130,2026-06-05 21:25:54.968
2,40.0,22940,2026-06-05 21:25:54.270
2,40.0,22720,2026-06-05 21:25:53.598
2,40.0,22460,2026-06-05 21:25:52.795
2,40.0,21910,2026-06-05 21:25:52.094
2,40.0,21860,2026-06-05 21:25:51.092
2,40.0,21790,2026-06-05 21:25:50.268
2,40.0,21640,2026-06-05 21:25:49.562
2,40.0,21540,2026-06-05 21:25:48.857
2,40.0,21530,2026-06-05 21:25:48.145
2,40.0,21370,2026-06-05 21:25:47.454
2,40.0,21070,2026-06-05 21:25:46.766
2,40.0,20940,2026-06-05 21:25:46.030
2,40.0,20880,2026-06-05 21:25:45.199
2,40.0,20830,2026-06-05 21:25:44.473
2,40.0,20560,2026-06-05 22:33:22.053
2,40.0,20550,2026-06-06 19:42:31.636
2,40.0,20500,2026-06-07 13:08:11.841
2,40.0,20500,2026-06-06 17:40:21.416
2,40.0,20450,2026-06-07 09:17:33.320
2,40.0,20450,2026-06-07 09:17:31.784
2,40.0,20450,2026-06-07 09:17:32.599
2,40.0,20400,2026-06-07 12:32:19.312
2,40.0,20400,2026-06-07 12:32:21.005
2,40.0,20400,2026-06-07 12:32:20.084
2,40.0,20350,2026-06-07 12:32:06.929
2,40.0,20350,2026-06-07 12:32:08.475
2,40.0,20350,2026-06-07 12:32:07.750
2,40.0,20350,2026-06-07 12:32:06.150
2,40.0,20250,2026-06-08 12:04:27.125
2,40.0,20250,2026-06-08 12:04:26.348
2,40.0,20150,2026-06-08 18:06:42.308
2,40.0,20150,2026-06-08 18:06:43.113
2,40.0,20000,2026-06-08 15:01:43.110
2,40.0,20000,2026-06-08 08:41:51.765
2,40.0,20000,2026-06-07 22:15:42.077
2,40.0,19970,2026-06-09 04:57:07.123
2,40.0,19950,2026-06-08 09:03:41.786
2,40.0,19950,2026-06-07 19:24:05.216
2,40.0,19950,2026-06-08 13:13:02.216
2,40.0,19950,2026-06-08 12:56:51.794
2,40.0,19900,2026-06-08 18:01:52.015
2,40.0,19900,2026-06-07 22:15:04.735
2,40.0,19850,2026-06-08 18:03:33.060
2,40.0,19850,2026-06-07 22:15:26.359
2,40.0,19850,2026-06-08 21:07:51.733
2,40.0,19800,2026-06-08 21:49:01.832
2,40.0,19800,2026-06-08 08:41:54.460
2,40.0,19750,2026-06-09 03:01:11.835
2,40.0,19750,2026-06-08 22:53:31.485
2,40.0,19750,2026-06-08 13:13:04.832
2,40.0,19710,2026-06-09 04:36:01.775
2,40.0,19700,2026-06-08 18:02:04.057
2,40.0,19670,2026-06-09 04:52:11.329
2,40.0,19650,2026-06-08 21:07:54.214
2,40.0,19600,2026-06-08 21:49:04.913
2,40.0,19550,2026-06-09 03:01:15.568
2,40.0,19500,2026-06-09 04:36:04.010
1,40.0,19440,2026-06-08 18:06:31.915
1,40.0,19440,2026-06-07 19:24:04.231
1,40.0,19410,2026-06-05 21:25:43.377
1,40.0,19390,2026-06-07 22:15:03.520
1,40.0,19340,2026-06-09 00:39:21.694
1,40.0,19340,2026-06-07 22:15:24.338
1,40.0,19290,2026-06-08 08:41:53.441
1,40.0,19290,2026-06-09 04:41:12.205
1,40.0,19240,2026-06-08 13:13:03.669
1,40.0,19190,2026-06-08 18:02:03.116
1,40.0,19140,2026-06-08 21:07:53.254
1,40.0,19090,2026-06-08 21:49:03.299
1,40.0,19070,2026-06-05 21:25:42.446
1,40.0,19040,2026-06-09 03:01:13.499
1,200.0,19000,2026-06-09 00:40:49.109
1,40.0,18990,2026-06-09 04:36:03.105
1,40.0,18940,2026-06-09 04:57:41.358
1,40.0,18640,2026-06-05 21:25:41.181
1,120.0,18150,2026-06-09 03:21:49.117
1,40.0,18100,2026-06-05 21:25:39.941
1,40.0,17560,2026-06-05 21:25:38.952
1,40.0,17440,2026-06-05 21:25:37.919
1,40.0,17240,2026-06-05 21:25:36.908
1,40.0,17060,2026-06-05 21:25:35.959
1,120.0,17000,2026-06-09 03:22:41.110
1,40.0,16920,2026-06-05 21:25:34.948
1,40.0,16600,2026-06-05 21:25:34.001
1,40.0,16510,2026-06-05 21:25:33.035
1,40.0,16220,2026-06-05 21:25:32.123
1,40.0,15890,2026-06-05 21:25:31.211
1,40.0,15880,2026-06-05 21:25:30.280
1,40.0,15700,2026-06-05 21:25:29.357
1,40.0,15550,2026-06-05 21:25:28.405
1,40.0,15300,2026-06-05 21:25:27.432
1,40.0,15290,2026-06-05 21:25:26.495
1,40.0,15080,2026-06-05 21:25:25.112
1,40.0,15020,2026-06-09 03:27:11.113
1,40.0,15010,2026-06-09 03:27:03.110
1,40.0,15000,2026-06-05 21:25:21.117
1,40.0,14980,2026-06-05 22:33:45.108
