side,qty,rate,time
2,40.0,25700,2026-07-17 16:45:25.531
2,40.0,25490,2026-07-17 16:45:24.501
2,40.0,24860,2026-07-17 16:45:23.561
2,40.0,24850,2026-07-17 16:45:22.623
2,40.0,24790,2026-07-17 16:45:21.696
2,40.0,24690,2026-07-17 16:45:20.652
2,40.0,24650,2026-07-17 16:45:19.746
2,40.0,24020,2026-07-18 03:48:24.305
2,40.0,23880,2026-07-17 16:45:18.591
2,40.0,23260,2026-07-17 16:45:17.603
2,40.0,23240,2026-07-17 16:45:16.700
2,40.0,23070,2026-07-17 16:45:15.752
2,40.0,23030,2026-07-17 16:45:14.836
2,40.0,22820,2026-07-17 16:45:13.919
2,40.0,22800,2026-07-17 16:45:12.948
2,40.0,22770,2026-07-17 16:45:11.658
2,40.0,22660,2026-07-17 16:45:10.548
2,40.0,22550,2026-07-18 03:48:22.949
2,40.0,22470,2026-07-17 16:45:09.585
2,40.0,21900,2026-07-17 16:45:08.120
2,40.0,21870,2026-07-17 16:45:07.130
2,40.0,21600,2026-07-17 16:45:06.206
2,40.0,21580,2026-07-17 16:45:05.320
2,40.0,21420,2026-07-16 12:32:51.587
2,40.0,21350,2026-07-17 16:45:04.288
2,40.0,21350,2026-07-17 16:46:10.551
2,40.0,21300,2026-07-17 16:46:15.340
2,40.0,21300,2026-07-17 16:46:09.596
2,40.0,21290,2026-07-17 16:45:03.246
2,40.0,21270,2026-07-18 03:36:03.146
2,40.0,21250,2026-07-17 16:46:20.376
2,40.0,21250,2026-07-17 16:46:13.244
2,40.0,21250,2026-07-17 16:46:14.319
2,40.0,21210,2026-07-17 16:46:16.278
2,40.0,21200,2026-07-17 16:46:11.703
2,40.0,21160,2026-07-17 16:46:17.232
2,40.0,21100,2026-07-17 16:46:18.096
2,40.0,21050,2026-07-17 16:46:19.343
2,40.0,21030,2026-07-17 16:45:02.295
2,40.0,20990,2026-07-17 16:45:01.427
2,40.0,20580,2026-07-17 23:42:21.733
2,40.0,20570,2026-07-17 23:07:51.001
2,40.0,20530,2026-07-17 23:55:47.127
2,40.0,20520,2026-07-17 23:07:52.082
2,40.0,20520,2026-07-17 23:07:50.066
2,40.0,20470,2026-07-17 23:08:16.436
2,40.0,20470,2026-07-17 23:08:15.554
2,40.0,20470,2026-07-17 23:08:14.603
2,40.0,20420,2026-07-17 23:08:30.026
2,40.0,20420,2026-07-17 23:08:32.678
2,40.0,20420,2026-07-17 23:08:35.572
2,40.0,20370,2026-07-17 23:08:36.440
2,40.0,20370,2026-07-17 23:08:33.601
2,40.0,20370,2026-07-17 23:08:31.369
2,40.0,20360,2026-07-17 23:14:23.756
2,40.0,20320,2026-07-17 23:14:24.580
2,40.0,20320,2026-07-17 23:14:26.999
2,40.0,20270,2026-07-17 23:14:26.168
2,40.0,20270,2026-07-17 23:14:25.340
2,40.0,20220,2026-07-17 23:41:10.542
2,40.0,20210,2026-07-17 23:41:50.946
2,40.0,20150,2026-07-18 03:42:15.497
2,40.0,20120,2026-07-17 23:42:04.658
2,40.0,20010,2026-07-18 00:00:17.562
2,40.0,19960,2026-07-18 00:00:28.117
2,40.0,19960,2026-07-18 00:00:29.108
2,40.0,19920,2026-07-18 02:31:31.697
2,40.0,19910,2026-07-18 00:00:38.522
2,40.0,19870,2026-07-18 00:00:39.690
2,40.0,19860,2026-07-18 00:01:10.053
2,40.0,19840,2026-07-18 00:01:11.093
2,40.0,19810,2026-07-18 00:01:41.466
2,40.0,19810,2026-07-18 00:01:43.076
2,40.0,19810,2026-07-18 00:01:36.570
2,40.0,19810,2026-07-18 00:01:44.651
2,40.0,19810,2026-07-18 00:01:42.252
2,40.0,19810,2026-07-18 00:01:39.713
2,40.0,19810,2026-07-18 00:01:37.356
2,40.0,19810,2026-07-18 00:01:34.966
2,40.0,19810,2026-07-18 00:01:43.858
2,40.0,19790,2026-07-18 00:01:48.025
2,40.0,19790,2026-07-18 00:01:49.924
2,40.0,19790,2026-07-18 00:01:46.232
2,40.0,19790,2026-07-18 00:01:45.466
2,40.0,19790,2026-07-18 00:01:50.947
2,40.0,19770,2026-07-18 00:01:33.893
2,40.0,19760,2026-07-18 00:01:40.492
